date,sp500
10/31/2017,2575.26001
11/1/2017,2579.360107
11/2/2017,2579.850098
11/3/2017,2587.840088
11/6/2017,2591.129883
11/7/2017,2590.639893
11/8/2017,2594.379883
11/9/2017,2584.620117
11/10/2017,2582.300049
11/13/2017,2584.840088
11/14/2017,2578.870117
11/15/2017,2564.620117
11/16/2017,2585.639893
11/17/2017,2578.850098
11/20/2017,2582.139893
11/21/2017,2599.030029
11/22/2017,2597.080078
11/24/2017,2602.419922
11/27/2017,2601.419922
11/28/2017,2627.040039
11/29/2017,2626.070068
11/30/2017,2647.580078
12/1/2017,2642.219971
12/4/2017,2639.439941
12/5/2017,2629.570068
12/6/2017,2629.27002
12/7/2017,2636.97998
12/8/2017,2651.5
12/11/2017,2659.98999
12/12/2017,2664.110107
12/13/2017,2662.850098
12/14/2017,2652.01001
12/15/2017,2675.810059
12/18/2017,2690.159912
12/19/2017,2681.469971
12/20/2017,2679.25
12/21/2017,2684.570068
12/22/2017,2683.340088
12/26/2017,2680.5
12/27/2017,2682.620117
12/28/2017,2687.540039
12/29/2017,2673.610107
1/2/2018,2695.810059
1/3/2018,2713.060059
1/4/2018,2723.98999
1/5/2018,2743.149902
1/8/2018,2747.709961
1/9/2018,2751.290039
