date,ticker,open,high,low,close,vol_btc,vol_usd,usdt_supply,google_trends,sp500
12/24/2016,BTCUSD,915.5,918.5,880.1,887,6494.37,5864390.24,14951600,,1994.23999
12/23/2016,BTCUSD,858.01,918,853.6,915.5,12611.27,11303139.03,14951600,,2003.689941
12/22/2016,BTCUSD,828.58,875.75,826.23,858.01,8904.03,7609856.54,9951600,,2017.459961
12/21/2016,BTCUSD,797.99,832,797.98,828.58,8332.09,6794258.56,9951600,,2014.890015
12/20/2016,BTCUSD,789.91,798,788.58,797.99,5825.84,4611344.9,9951600,,2013.430054
12/19/2016,BTCUSD,790,794.99,789,789.91,5344.13,4234769.73,9951600,,1995.829956
12/18/2016,BTCUSD,790.07,791.96,787.19,790,3023.1,2388142.87,9951600,,1979.920044
12/17/2016,BTCUSD,785,791.97,779.5,790.07,4379.17,3450804.04,9951600,,1987.050049
12/16/2016,BTCUSD,775,785,774.8,785,5541.5,4322740.99,6951600,,1951.359985
12/15/2016,BTCUSD,777.72,780,775,775,5877.17,4575180.55,6951600,,1923.819946
12/14/2016,BTCUSD,779.79,781.8,773.2,777.72,4488.82,3493421.26,6951600,,1920.030029
12/13/2016,BTCUSD,778.71,790.3,772.76,779.79,5304.5,4143122.68,6951600,,1884.089966
12/12/2016,BTCUSD,770.9,782,770.76,778.71,4353.46,3385595.47,6951600,,1881.77002
12/11/2016,BTCUSD,775.98,776.18,765,770.9,3060.01,2355251.21,6951600,,1931.339966
12/10/2016,BTCUSD,771.77,776.99,770,775.98,3431.35,2657798.79,6951600,,1932.23999
12/9/2016,BTCUSD,768.35,772.87,765.83,771.77,3916.95,3016303.89,6951600,,1938.76001
12/8/2016,BTCUSD,766.07,772.82,761.71,768.35,4743.95,3648295.87,6951600,,1942.73999
12/7/2016,BTCUSD,764.3,768.9,762.21,766.07,2170.38,1662439.28,6951600,,1966.969971
12/6/2016,BTCUSD,753.36,757.15,752,755.73,1222.47,923340.9,6951600,,1958.030029
12/5/2016,BTCUSD,766.96,767.99,748.6,753.36,4829.26,3648661.03,6951600,,1990.199951
12/4/2016,BTCUSD,766.52,769.76,762.83,766.96,2659.75,2037566.09,6951600,,1995.310059
12/3/2016,BTCUSD,771.54,772.53,759,766.52,3289.9,2521958.71,6951600,,1978.089966
12/2/2016,BTCUSD,753.57,780,753.26,771.54,5889.3,4521958.99,6951600,,1953.030029
12/1/2016,BTCUSD,742.6,754.9,741.59,753.57,4159.29,3114420.63,6951600,,1961.050049
11/30/2016,BTCUSD,731.8,745,729.17,742.6,3919.4,2894218.83,6951600,,1952.290039
11/29/2016,BTCUSD,730.27,734.36,728.2,731.8,3825.88,2799548.85,6951600,,1942.040039
11/28/2016,BTCUSD,729.01,736.44,728.74,730.27,3790.89,2772470.95,6951600,,1969.410034
11/27/2016,BTCUSD,735.83,737.95,728.01,729.01,2613.1,1915798.65,6951600,,1921.219971
11/26/2016,BTCUSD,739,739.99,726,735.83,2723.44,2000688.57,6951600,,1951.130005
11/25/2016,BTCUSD,737.99,739,729,739,3088.94,2270107.19,6951600,,1948.859985
11/24/2016,BTCUSD,741.76,743.99,727,737.99,3497.94,2578204,6951600,,1913.849976
11/23/2016,BTCUSD,747,747.12,734,741.76,3627.33,2689537.69,6951600,,1972.180054
11/22/2016,BTCUSD,735.81,748.77,726.38,747,3984.94,2953803.5,6951600,,1988.869995
11/21/2016,BTCUSD,731,738.47,730,735.81,2951.25,2169609.46,6951600,,1987.660034
11/20/2016,BTCUSD,750.38,753.81,715,731,4277.5,3141743.61,6951600,,1940.51001
11/19/2016,BTCUSD,747.8,752.3,738,750.38,2981.81,2231496.42,6951600,,1867.609985
11/18/2016,BTCUSD,736.57,751,728.89,747.8,4804.44,3566841.04,6951600,,1893.209961
11/17/2016,BTCUSD,737.55,750.01,729.01,736.57,4124.02,3062565.11,6951600,,1970.890015
11/16/2016,BTCUSD,712.41,743.8,710,737.55,6034.32,4395006.2,6951600,,2035.72998
11/15/2016,BTCUSD,705.52,716.3,671.23,712.41,4403.4,3120205.49,6951600,,2079.610107
11/14/2016,BTCUSD,703.98,708.57,695.07,705.52,4797.58,3370257.82,6951600,,2096.919922
11/13/2016,BTCUSD,704.67,705.94,685.7,703.98,4166.31,2902831.61,6951600,,2102.439941
11/12/2016,BTCUSD,714.77,716.99,702.42,704.67,3125.27,2215860.74,6951600,,2091.540039
11/11/2016,BTCUSD,712.28,718.99,711.56,714.77,3334.54,2384291.54,6951600,,2083.389893
11/10/2016,BTCUSD,721,723.61,705.84,712.28,4382.38,3129512.48,6951600,,2086.050049
11/9/2016,BTCUSD,712.57,747.26,710.05,721,11991.35,8761367.79,6951600,,2084.070068
